,order_id,product,is_first,is_regular,auto_repay_time,finish_repay_time,sms_num,over_due_sms_num
16317,fc0f2c3b-2c4b-4004-9d8b-8822414a5ca6,0,1,0,2016-09-11 16:00:00,2016-09-06 20:55:04.538153,62,0
16318,39ac13e7-8718-4d3a-9ae3-5d3b0d35ca9f,0,1,0,None,None,4,0
16319,15f2f989-bd27-4e05-b1ca-bbca37b32cc8,0,1,0,2016-09-07 16:00:00,2016-09-01 08:38:09.229633,1,0
16320,957a675b-cc8f-42b4-814f-9985e6ba7f9e,0,1,0,2016-09-24 16:00:00,2016-09-23 03:52:22.107375,1,0
16321,0b90b663-8c2d-494b-b202-7477b7678ce8,0,0,0,None,None,1,0
16322,9311eac9-b29b-4006-8bc6-38f206515787,0,1,0,None,None,5,0
16323,1ff3f558-3f55-4b4f-82df-fbd3025b11c2,0,1,0,2016-09-25 16:00:00,2016-09-23 07:41:00.556977,2,0
16324,8c429abd-00f7-442c-8f00-7a3f2c91fc3f,0,1,0,None,None,1,0
16325,c46609b1-b12a-49ec-b0e7-cfa83ed645dc,0,0,0,None,None,2,0
16326,084bbc20-b32c-4ec7-8171-741f3c5c7fc8,0,0,0,2016-09-08 16:00:00,2016-08-30 08:21:43.246370,11,0
16327,f9d03f05-2a89-4326-b66e-d1fc132be328,0,1,0,2016-09-15 16:00:00,2016-09-12 11:59:21.785925,2,0
16328,db56c71f-bb76-40c9-b12b-f47f754420b5,0,1,0,None,None,36,0
16329,5304e2a4-7932-4e75-8ed0-bee3ab81b184,0,1,0,2016-09-28 16:00:00,2016-09-30 07:10:29.808797,16,0
16330,f95e937d-6095-418b-b66c-6b271b55533e,0,0,0,None,None,1,0
16331,89230465-f3eb-4d07-aec3-a3e0caaf7fb7,0,0,0,2016-09-05 16:00:00,2016-09-05 08:11:18.983744,13,0
16332,52706f5f-dd65-4f24-b5ea-318e7d216b96,0,1,0,None,None,82,32
16333,0df73ad7-9098-43c8-800a-ad0bfc0ec881,0,1,0,None,None,105,18
16334,1a4d2727-6071-4bbb-bd2e-18f6ddc85ca9,0,1,0,2016-09-08 16:00:00,2016-09-01 05:09:49.577732,18,0
16335,58819355-ded4-4cf4-bfbf-72aafdcab8d3,0,1,0,2016-09-10 16:00:00,2016-09-04 19:28:27.615091,1,0
16336,7ffeb00b-87fe-42ae-92c1-07d26dbd069b,0,0,0,2016-09-04 16:00:00,2016-09-03 06:42:41.447097,1,0
16337,26625524-06cc-491c-980a-661c3764b8f3,0,1,0,2016-09-11 16:00:00,2016-09-16 13:53:06.994224,5,0
16338,c9d35686-52d3-4628-9d0f-1a1c28c3f074,0,1,0,2016-09-29 16:00:00,2016-09-28 10:04:04.845237,1,0
16339,305113ee-051c-407b-b822-81d0ea9a45c9,0,1,0,None,None,2,0
16340,3e02c85f-6bd3-46a2-b63c-e1ec80cb497f,0,1,0,None,None,35,1
16341,92b42164-44e8-4af0-ab6f-578a334d8105,0,1,0,2016-09-24 16:00:00,2016-09-23 06:38:13.094636,2,0
16342,296099e7-1da2-4548-8e78-b36851b2f989,0,1,0,None,None,9,1
16343,55f9521f-380f-4525-acb8-9090ba0d0762,0,1,0,2016-09-30 16:00:00,2016-09-29 01:37:56.254575,3,0
16344,eab3613c-c11c-4158-adae-393de7fb2eb1,0,1,0,None,None,2,1
16345,28dbb367-21e7-4f94-8ac8-31b2d7a8c9b5,0,1,0,2016-09-22 16:00:00,2016-09-22 09:19:26.703353,1,0
16346,3c255046-03fb-43ea-b50b-2c2779bfc78a,0,1,0,2016-09-23 16:00:00,2016-09-26 08:35:22.637778,2,0
16347,f3113e36-2c77-4e73-95bc-e0c58693040a,0,1,0,None,None,6,0
16348,81eb8d07-7221-4a0e-90cc-eef26bd01e90,0,1,0,2016-09-27 16:00:00,2016-09-29 11:25:48.728462,2,0
16349,425ffd08-9576-4300-8046-318a856b2c11,0,1,0,2016-09-28 16:00:00,2016-09-28 08:34:23,3,0
16350,41e4aca2-adb4-4b1b-b9ae-57cdb292b16c,0,1,0,2016-09-25 16:00:00,2016-09-26 10:59:26.673313,10,0
16351,2806f30b-a3d4-4652-a4dc-a19d0e5ed82f,0,1,0,2016-09-21 16:00:00,2016-09-28 10:11:12,1,0
